Date,Time,Pid,Address,Permission,Offset,Device,Inode,Pathname
2022-01-31,20:21:01,7389,00400000-0043c000,r-xp,00000000,fd:00,968923,['/usr/sbin/slurmstepd']
2022-01-31,20:21:01,7389,0063b000-0063c000,r--p,0003b000,fd:00,968923,['/usr/sbin/slurmstepd']
2022-01-31,20:21:01,7389,0063c000-0063e000,rw-p,0003c000,fd:00,968923,['/usr/sbin/slurmstepd']
2022-01-31,20:21:01,7389,0063e000-00640000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,00e06000-00e83000,rw-p,00000000,00:00,0,['[heap]']
2022-01-31,20:21:01,7389,2b65ad1e2000-2b65ad204000,r-xp,00000000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:21:01,7389,2b65ad204000-2b65ad20d000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65ad20d000-2b65ad20e000,---p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65ad20e000-2b65ad30e000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65ad403000-2b65ad404000,r--p,00021000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:21:01,7389,2b65ad404000-2b65ad405000,rw-p,00022000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:21:01,7389,2b65ad405000-2b65ad406000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65ad406000-2b65ad5d3000,r-xp,00000000,fd:00,9381851,['/usr/lib64/slurm/libslurmfull.so']
2022-01-31,20:21:01,7389,2b65ad5d3000-2b65ad7d2000,---p,001cd000,fd:00,9381851,['/usr/lib64/slurm/libslurmfull.so']
2022-01-31,20:21:01,7389,2b65ad7d2000-2b65ad7d5000,r--p,001cc000,fd:00,9381851,['/usr/lib64/slurm/libslurmfull.so']
2022-01-31,20:21:01,7389,2b65ad7d5000-2b65ad7e0000,rw-p,001cf000,fd:00,9381851,['/usr/lib64/slurm/libslurmfull.so']
2022-01-31,20:21:01,7389,2b65ad7e0000-2b65ad7e6000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7389,2b65ad7e6000-2b65ad7e8000,r-xp,00000000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:21:01,7389,2b65ad7e8000-2b65ad9e8000,---p,00002000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:21:01,7389,2b65ad9e8000-2b65ad9e9000,r--p,00002000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
