Time,Mem,CPU,Labels,Annotations
09:57:01,0.1,0.0,20596,root:j234:p20596:slurmstepd: [234.batch]
09:57:01,2.4,0.0,20603,user1:j234:p20603:nwchem_openmpi siosi3.nw
09:59:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
09:59:01,18.5,98.4,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
09:59:01,0.1,0.0,20758,root:j250:p20758:slurmstepd: [250.batch]
09:59:01,0.3,2.3,20763,user2:j250:p20763:python3 sleep_test.py
10:00:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:00:01,18.5,99.2,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:00:01,0.1,0.0,20758,root:j250:p20758:slurmstepd: [250.batch]
10:00:01,0.3,0.1,20763,user2:j250:p20763:python3 sleep_test.py
10:01:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:01:01,18.6,99.4,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:01:01,0.1,0.0,20758,root:j250:p20758:slurmstepd: [250.batch]
10:01:01,0.3,0.0,20763,user2:j250:p20763:python3 sleep_test.py
10:02:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:02:01,18.6,99.1,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:02:01,0.1,0.0,20758,root:j250:p20758:slurmstepd: [250.batch]
10:02:01,0.3,0.0,20763,user2:j250:p20763:python3 sleep_test.py
10:03:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:03:01,20.5,99.2,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:03:01,0.1,0.0,20758,root:j250:p20758:slurmstepd: [250.batch]
10:03:01,0.3,0.0,20763,user2:j250:p20763:python3 sleep_test.py
10:04:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:04:01,20.5,99.4,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:04:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:04:01,0.1,0.3,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:04:01,0.7,85.0,20914,user4:j258:p20914:lmp -in in.free_sampling
10:05:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:05:01,20.5,99.4,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:05:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:05:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:05:01,0.7,99.3,20914,user4:j258:p20914:lmp -in in.free_sampling
10:06:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:06:01,20.5,99.5,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:06:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:06:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:06:01,0.7,99.6,20914,user4:j258:p20914:lmp -in in.free_sampling
10:07:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:07:01,20.5,99.6,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:07:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:07:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:07:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:08:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
10:08:01,20.5,99.6,20731,user1:j248:p20731:nwchem_openmpi density_diamond.nw
10:08:01,0.1,0.0,20905,root:j258:p20905:slurmstepd: [258.batch]
10:08:01,0.1,0.0,20912,"user4:j258:p20912:mpirun --allow-run-as-root --mca btl self,vader --map-by l3cache ..."
10:08:01,0.7,99.7,20914,user4:j258:p20914:lmp -in in.free_sampling
10:09:01,0.1,0.0,20724,root:j248:p20724:slurmstepd: [248.batch]
